2021-03-07/10:38:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:49		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:38:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_20022020_090716.csv: File loaded successfully!!
2021-03-07/10:39:00		 wafer_20022020_090716.csv: File loaded successfully!!
